"Region","EU (Ireland)($)","No region($)","US East (N. Virginia)($)","US East (Ohio)($)","EU (Frankfurt)($)","EU (Paris)($)","Africa (Cape Town)($)","Asia Pacific (Tokyo)($)","Asia Pacific (Mumbai)($)","Asia Pacific (Singapore)($)","Asia Pacific (Sydney)($)","Canada (Central)($)","Middle East (Bahrain)($)","South America (Sao Paulo)($)","global($)","Total costs($)"
"Region total","109.2832775651","30.42","21.19708462","14.7166307297","0.0072689295","0.0014497396","0","0","0","0","0","0","0","0","0","175.6257115839"
"2023-06-01","7.7370843091","2.23","1.691903601","1.2139631108","0.000605457","0.000183212","0","0","0","0","0","0","0","0","","12.8737396899"
"2023-07-01","7.739961668","2.23","1.6918919991","1.2129607719","0.0006054579","0.0002240098","0","0","0","0","0","0","0","0","","12.8756439067"
"2023-08-01","13.1584114827","3.38","1.7500952254","1.2135832046","0.0006067479","0.0001594612","0","0","0","0","0","0","0","0","","19.5028561218"
"2023-09-01","8.799021428","2.47","1.766903087","1.2130039356","0.000605457","0.000099932","0","0","0","0","0","0","0","0","","14.2496338396"
"2023-10-01","8.8394530916","2.48","1.7667485089","1.2129984037","0.0006054579","0.0001129062","0","0","0","0","0","0","0","0","","14.2999183683"
"2023-11-01","8.8303543193","2.48","1.7668681142","1.2130083366","0.000605457","0.000064955","0","0","0","0","0","0","0","0","","14.2909011821"
"2023-12-01","8.8153196037","2.47","1.7669800867","1.2130028087","0.0006054579","0.0001187724","0","0","0","0","0","0","0","0","","14.2660267294"
"2024-01-01","8.8401010077","2.48","1.7759454669","1.2136369083","0.0006054579","0.0000988414","0","0","0","0","0","0","0","0","0","14.3103876822"
"2024-02-01","8.8525139439","2.5","1.8093963742","1.2881681104","0.0006067462","0.0001433545","0","0","0","0","0","0","0","0","","14.4508285292"
"2024-03-01","8.8602798278","2.49","1.8014861316","1.253262168","0.0006054579","0.0001211462","0","0","0","0","0","0","0","0","","14.4057547315"
"2024-04-01","9.3849412811","2.6","1.8029098765","1.2165681376","0.000605887","0.0000755365","0","0","0","0","0","0","0","0","0","15.0051007187"
"2024-05-01","9.4258356022","2.61","1.8059561485","1.2524748335","0.0006058879","0.0000476124","0","0","0","0","0","0","0","0","","15.0949200845"
